date,ticker,count,close,sentiment,prop,n_posts,stock_post,count_post,sentiment_post,count_above,stock_above,sentiment_above
2021-07-10,AMC,3,46.189999,0.8673333333333334,0.057692307692307696,52,0.006,0.074,0,FALSE,FALSE,FALSE
2021-07-11,AMC,3,46.189999,0.9751333333333333,0.10344827586206896,29,0.962,0.046,0,FALSE,TRUE,FALSE
2021-07-12,AMC,3,42.610001,0.21586666666666668,0.07894736842105263,38,0.094,0.064,0,FALSE,FALSE,FALSE
2021-07-13,AMC,4,39.349998,0.81035,0.05194805194805195,77,1,0.054,0,FALSE,TRUE,FALSE
2021-07-14,AMC,4,33.43,0.969625,0.05063291139240506,79,0.012,0.532,0,FALSE,FALSE,FALSE
2021-07-15,AMC,16,36,0.19524375,0.14035087719298245,114,0,0.66,0,FALSE,FALSE,FALSE
2021-07-16,AMC,5,34.959999,0.46176,0.06097560975609756,82,0.004,0.176,0,FALSE,FALSE,FALSE
2021-07-17,AMC,2,34.959999,0.49015,0.03389830508474576,59,0.006,0.076,0,FALSE,FALSE,FALSE
2021-07-18,AMC,0,34.959999,NA,0,22,0.008,0.098,0,FALSE,FALSE,FALSE
2021-07-19,AMC,4,34.619999,0.79485,0.09302325581395349,43,1,0.086,0,FALSE,TRUE,FALSE
2021-07-20,AMC,2,43.09,-0.3399,0.034482758620689655,58,1,0.064,0,FALSE,TRUE,FALSE
2021-08-02,AMC,1,35.200001,-0.8648,0.037037037037037035,27,0.052,0.028,0,FALSE,FALSE,FALSE
2021-08-03,AMC,1,33.59,0.9963,0.017857142857142856,56,0.118,0.038,0,FALSE,FALSE,FALSE
2021-08-04,AMC,3,29.84,0.09210000000000002,0.030927835051546393,97,0.066,0.062,0,FALSE,FALSE,FALSE
2021-08-05,AMC,6,33.509998,0.23215,0.06060606060606061,99,0.002,0.038,0,FALSE,FALSE,FALSE
2021-08-06,AMC,3,32.700001,0.8721333333333333,0.03571428571428571,84,0.004,0.058,0,FALSE,FALSE,FALSE
2021-08-07,AMC,3,32.700001,0.5683333333333334,0.08333333333333333,36,0.006,0.044,0,FALSE,FALSE,FALSE
2021-08-08,AMC,2,32.700001,0.99895,0.05263157894736842,38,0.004,0.056,0,FALSE,FALSE,FALSE
2021-08-09,AMC,3,33.799999,0.33203333333333335,0.04838709677419355,62,0,0.066,0,FALSE,FALSE,FALSE
2021-08-10,AMC,3,31.75,0.3661,0.05660377358490566,53,0.008,0.158,0,FALSE,FALSE,FALSE
2021-08-11,AMC,1,31.549999,0.9961,0.010752688172043012,93,0.03,0.06,0,FALSE,FALSE,FALSE
2021-08-12,AMC,0,33.07,NA,0,81,0.038,0.04,0,FALSE,FALSE,FALSE
2021-08-13,AMC,1,33.470001,0.9997,0.017543859649122806,57,0.034,0.064,0,FALSE,FALSE,FALSE
2021-08-14,AMC,1,33.470001,0.9858,0.027777777777777776,36,0.036,0.174,0,FALSE,FALSE,FALSE
2021-08-15,AMC,1,33.470001,0.9139,0.047619047619047616,21,0.182,0.218,0,FALSE,FALSE,FALSE
2021-08-16,AMC,1,35.689999,0.9986,0.09090909090909091,11,NA,NA,NA,NA,NA,NA
2020-09-29,LCID,0,9.78,NA,0,1,1,0.002,0,FALSE,TRUE,FALSE
2021-01-28,LCID,0,22.33,NA,0,1197,0.016,0.002,0,FALSE,FALSE,FALSE
2021-01-29,LCID,0,22.879999,NA,0,15888,0.022,0.002,0,FALSE,FALSE,FALSE
2021-01-30,LCID,0,22.879999,NA,0,1263,0.04,0.002,0,FALSE,FALSE,FALSE
2021-01-31,LCID,0,22.879999,NA,0,943,0.666,0.002,0,FALSE,FALSE,FALSE
2021-02-01,LCID,0,25.200001,NA,0,943,1,0.006,0,FALSE,TRUE,FALSE
2021-02-02,LCID,0,32.139999,NA,0,1406,0.404,0.004,0,FALSE,FALSE,FALSE
2021-02-03,LCID,0,29.49,NA,0,2765,0.012,0.006,0,FALSE,FALSE,FALSE
2021-02-04,LCID,0,30.219999,NA,0,1683,1,0.002,0,FALSE,TRUE,FALSE
2021-02-05,LCID,0,34.650002,NA,0,2464,0.012,0.004,0,FALSE,FALSE,FALSE
2021-02-06,LCID,0,34.650002,NA,0,2807,0.032,0.002,0,FALSE,FALSE,FALSE
2021-02-07,LCID,0,34.650002,NA,0,513,0.778,0.002,0,FALSE,FALSE,FALSE
2021-02-08,LCID,0,32.880001,NA,0,280,0.05,0.006,0,FALSE,FALSE,FALSE
2021-02-09,LCID,0,33.310001,NA,0,156,0.078,0.004,0,FALSE,FALSE,FALSE
2021-02-10,LCID,0,32.869999,NA,0,209,0.144,0.002,0,FALSE,FALSE,FALSE
2021-02-11,LCID,0,31.5,NA,0,167,1,0.002,0,FALSE,TRUE,FALSE
2021-02-12,LCID,0,39.98,NA,0,183,0.012,0.002,0,FALSE,FALSE,FALSE
2021-02-13,LCID,0,39.98,NA,0,177,0.006,0,0,FALSE,FALSE,FALSE
2021-02-14,LCID,0,39.98,NA,0,126,0.01,0.004,0,FALSE,FALSE,FALSE
2021-02-15,LCID,0,39.98,NA,0,63,1,0,0,FALSE,TRUE,FALSE
2021-02-16,LCID,0,52.700001,NA,0,94,0.996,0.004,0,FALSE,TRUE,FALSE
2021-02-17,LCID,0,56.23,NA,0,175,0.068,0.004,0,FALSE,FALSE,FALSE
2021-02-18,LCID,0,58.049999,NA,0,246,1,0.006,0,FALSE,TRUE,FALSE
2021-02-19,LCID,0,52.939999,NA,0,351,0.004,0.006,0,FALSE,FALSE,FALSE
2021-02-20,LCID,0,52.939999,NA,0,237,0.002,0.004,0,FALSE,FALSE,FALSE
2021-02-21,LCID,0,52.939999,NA,0,162,1,0.008,0,FALSE,TRUE,FALSE
2021-02-22,LCID,0,57.369999,NA,0,137,1,0.006,0,FALSE,TRUE,FALSE
2021-02-23,LCID,0,35.209999,NA,0,275,1,0.004,0,FALSE,TRUE,FALSE
2021-02-24,LCID,0,28.700001,NA,0,240,0.024,0.002,0,FALSE,FALSE,FALSE
2021-02-25,LCID,0,27.82,NA,0,557,0.94,0.006,0,FALSE,TRUE,FALSE
2021-02-26,LCID,0,30.75,NA,0,553,0.008,0.006,0,FALSE,FALSE,FALSE
2021-02-27,LCID,0,30.75,NA,0,293,0.004,0.002,0,FALSE,FALSE,FALSE
2021-02-28,LCID,0,30.75,NA,0,144,0.012,0.002,0,FALSE,FALSE,FALSE
2021-03-01,LCID,0,30.629999,NA,0,155,0.926,0.004,0,FALSE,TRUE,FALSE
2021-03-02,LCID,0,27.77,NA,0,365,0.996,0.002,0,FALSE,TRUE,FALSE
2021-03-03,LCID,0,24.200001,NA,0,579,0.008,0.004,0,FALSE,FALSE,FALSE
2021-03-04,LCID,0,24.34,NA,0,476,0.006,0.004,0,FALSE,FALSE,FALSE
2021-03-05,LCID,0,24.4,NA,0,422,0.01,0.006,0,FALSE,FALSE,FALSE
2021-03-06,LCID,0,24.4,NA,0,398,0.016,0,0,FALSE,FALSE,FALSE
2021-03-07,LCID,0,24.4,NA,0,146,0.07,0,0,FALSE,FALSE,FALSE
2021-03-08,LCID,0,22.09,NA,0,138,0.072,0.004,0,FALSE,FALSE,FALSE
2021-03-09,LCID,0,24.459999,NA,0,357,0.052,0.004,0,FALSE,FALSE,FALSE
2021-03-10,LCID,0,24.700001,NA,0,601,0.962,0.002,0,FALSE,TRUE,FALSE
2021-03-11,LCID,0,26.84,NA,0,531,0.008,0.008,0,FALSE,FALSE,FALSE
2021-03-12,LCID,0,26.77,NA,0,312,0.014,0.008,0,FALSE,FALSE,FALSE
2021-03-13,LCID,0,26.77,NA,0,248,0.006,0.004,0,FALSE,FALSE,FALSE
2021-03-14,LCID,0,26.77,NA,0,160,0.84,0.002,0,FALSE,TRUE,FALSE
2021-03-15,LCID,0,28.690001,NA,0,95,0.244,0.002,0,FALSE,FALSE,FALSE
2021-03-16,LCID,0,31.1,NA,0,243,0.022,0.004,0,FALSE,FALSE,FALSE
